ProductID,ProductName,ProductCategory,Price,ProductDescription,ProductPunchLine,ImageURL
PROD0037,Handheld Airless 360,Paint Sprayer,130.99,"Advanced handheld airless sprayer with 360-degree usability for walls, ceilings, furniture, and more. Perfect for quick projects and detailed work.","Complete flexibility, flawless finish",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/HandheldAirlessSprayer360.png
PROD0038,Handheld HVLP Pro,Paint Sprayer,139.99,"A user-friendly, handheld HVLP paint sprayer designed for crafts, small to mid-sized furniture, and décor. Get precise results with little mess.","Create, decorate, and elevate",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/HandheldHVLPPaintSprayer.png
PROD0039,Paint Safe Drop Cloth,Paint Accessories,55.99,"Heavy-duty, reusable drop cloth designed to protect floors and furniture during painting, staining, or remodeling projects. Ideal for both professional painters and DIY enthusiasts seeking reliable surface coverage.","Shield your space, paint with confidence.",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/drop_cloth_1.png
PROD0040,Paint Guard Reusable Drop Cloth,Paint Accessories,60.99,"Protect your floors and furniture from paint spills and splatters with this durable, reusable drop cloth, perfect for both professional painters and DIY home improvement projects.","Protect your floors, perfect your paint — drop cloths done right!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/drop_cloth_2.png
PROD0041,Fine Finish Paint Brush,Paint Accessories,2.99,"Achieve crisp lines and smooth finishes with this precision paint brush, ideal for detailed trim work, cutting in edges, and painting smaller surfaces with ease.","Smooth Strokes, Flawless Finish.",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Bresh_1.png
PROD0042,All-Purpose Wall Paint Brush,Paint Accessories,3.99,"Designed for broad coverage and consistent application, this versatile paint brush delivers smooth results on walls, ceilings, and large furniture pieces, making every painting project more efficient.","Smooth Strokes, Flawless Finish.",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Bresh_2.png
PROD0043,Large Area Applicator Brush,Paint Accessories,4.99,"Effortlessly cover expansive surfaces with this innovative roller-style brush, offering the broad coverage of a roller with the control of a brush, perfect for applying specialized coatings or achieving unique textured finishes.","Smooth Strokes, Flawless Finish.",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Bresh_3.png
PROD0044,Classic Flat Sash Brush,Paint Accessories,3.99,"Featuring a comfortable wooden handle and fine bristles, this versatile flat sash brush provides excellent control and smooth paint application, making it ideal for painting trim, doors, and smaller wall sections.",The Brush That Makes Color Come Alive!,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Bresh_7.png
PROD0045,Standard Paint Tray,Paint Accessories,10.99,"This versatile paint tray is ideal for small to medium painting projects, providing a stable base for easy paint loading. Its design ensures efficient paint distribution, making it perfect for quick touch-ups or detailed trim work.",Grip it. Dip it. Master your finish with ease.,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Tray_1.png
PROD0046,Deep Well Paint Tray,Paint Accessories,7.99,"This sturdy paint tray features a generous well for holding ample paint, minimizing refills during larger projects. Its ribbed ramp ensures even paint loading, making it ideal for covering broad surfaces like walls and ceilings efficiently.",Grip it. Dip it. Master your finish with ease.,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Tray_2.png
PROD0047,Compact Paint Tray,Paint Accessories,8.99,"This clean, white paint tray and roller set is perfect for small-scale painting projects. Its compact size makes it ideal for touch-ups, trim work, or crafts, ensuring easy paint application and minimal waste.",Grip it. Dip it. Master your finish with ease.,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Tray_3.png
PROD0048,Heavy-Duty Paint Tray with Grid,Paint Accessories,135.99,"The robust paint tray and roller features a sturdy design, making it suitable for larger painting tasks. The integrated grid ensures even paint loading onto the roller, ideal for smooth, consistent coverage on walls and ceilings.",Grip it. Dip it. Master your finish with ease.,https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Paint_Tray_4.png
PROD0049,Blue Painter's Tape,Paint Accessories,3.99,"The Blue painter's tape offers strong adhesion and clean removal, ideal for precise masking in painting projects to achieve crisp lines.","Clean Lines, Every Time!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/painters_tape_1.png
PROD0050,Green Painter's Tape,Paint Accessories,2.99,"The green painter tape is a versatile option known for its excellent conformability, perfect for delicate surfaces and curves in both indoor and outdoor painting applications.","Clean Lines, Every Time!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/painters_tape_3.png
PROD0051,Standard Paint Roller,Paint Accessories,15.99," This versatile roller offers reliable performance for a wide range of painting tasks, from touch-ups to full room renovations, providing excellent coverage.","Roll with Precision, Paint with Power!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Roller_3.png
PROD0052,Ergonomic Grip Paint Roller,Paint Accessories,10.99,"Designed with a comfortable ergonomic handle, this roller is perfect for extended painting projects, reducing hand fatigue for a more efficient finish.","Roll with Precision, Paint with Power!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Roller_2.png
PROD0053,Classic Wood Handle Paint Roller,Paint Accessories,9.99,"Featuring a timeless wooden handle, this roller is ideal for achieving smooth, even coverage on walls and ceilings in any room.","Roll with Precision, Paint with Power!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Roller_1.png
PROD0054,Wooden Handle Paint Roller,Paint Accessories,8.99,Featuring a durable wooden handle and a plush roller cover making it ideal for high-quality painting projects.,"Roll with Precision, Paint with Power!",https://staidemodev.blob.core.windows.net/hero-demos-hardcoded-chat-images/Roller_4.png
